hour,zone,total_ridership
2024-01-09 13:00:00.000000 UTC,Outside,121132
2024-01-09 14:00:00.000000 UTC,Inside,42600
2024-01-09 14:00:00.000000 UTC,Outside,162183
2024-01-09 15:00:00.000000 UTC,Inside,60899
2024-01-09 15:00:00.000000 UTC,Outside,210072
2024-01-09 16:00:00.000000 UTC,Inside,75397
2024-01-09 16:00:00.000000 UTC,Outside,230131
2024-01-09 17:00:00.000000 UTC,Inside,90737
2024-01-09 17:00:00.000000 UTC,Outside,245514
2024-01-09 18:00:00.000000 UTC,Inside,58681
2024-01-09 18:00:00.000000 UTC,Outside,161459
2024-01-09 19:00:00.000000 UTC,Inside,29817
2024-01-09 19:00:00.000000 UTC,Outside,87334
2024-01-09 20:00:00.000000 UTC,Inside,19156
2024-01-09 20:00:00.000000 UTC,Outside,58705
2024-01-09 21:00:00.000000 UTC,Inside,20289
2024-01-09 21:00:00.000000 UTC,Outside,48237
2024-01-09 22:00:00.000000 UTC,Inside,13976
2024-01-09 22:00:00.000000 UTC,Outside,38622
2024-01-09 23:00:00.000000 UTC,Inside,7305
2024-01-09 23:00:00.000000 UTC,Outside,21554
2024-01-10 00:00:00.000000 UTC,Inside,4143
2024-01-10 00:00:00.000000 UTC,Outside,10874
2024-01-10 01:00:00.000000 UTC,Inside,1323
2024-01-10 01:00:00.000000 UTC,Outside,4349
2024-01-10 02:00:00.000000 UTC,Inside,752
2024-01-10 02:00:00.000000 UTC,Outside,3344
2024-01-10 03:00:00.000000 UTC,Inside,621
2024-01-10 03:00:00.000000 UTC,Outside,4864
2024-01-10 04:00:00.000000 UTC,Inside,1138
2024-01-10 04:00:00.000000 UTC,Outside,15706
2024-01-10 05:00:00.000000 UTC,Inside,5951
2024-01-10 05:00:00.000000 UTC,Outside,57022
2024-01-10 06:00:00.000000 UTC,Inside,17105
2024-01-10 06:00:00.000000 UTC,Outside,126592
2024-01-10 07:00:00.000000 UTC,Inside,38601
2024-01-10 07:00:00.000000 UTC,Outside,262448
2024-01-10 08:00:00.000000 UTC,Inside,62639
2024-01-10 08:00:00.000000 UTC,Outside,312690
2024-01-10 09:00:00.000000 UTC,Inside,40503
2024-01-10 09:00:00.000000 UTC,Outside,182921
2024-01-10 10:00:00.000000 UTC,Inside,24587
2024-01-10 10:00:00.000000 UTC,Outside,115601
2024-01-10 11:00:00.000000 UTC,Inside,23482
2024-01-10 11:00:00.000000 UTC,Outside,102102
2024-01-10 12:00:00.000000 UTC,Inside,26241
2024-01-10 12:00:00.000000 UTC,Outside,108990
2024-01-10 13:00:00.000000 UTC,Inside,30311
2024-01-10 13:00:00.000000 UTC,Outside,125449
2024-01-10 14:00:00.000000 UTC,Inside,38782
2024-01-10 14:00:00.000000 UTC,Outside,161190
2024-01-10 15:00:00.000000 UTC,Inside,52673
2024-01-10 15:00:00.000000 UTC,Outside,199871
2024-01-10 16:00:00.000000 UTC,Inside,70718
2024-01-10 16:00:00.000000 UTC,Outside,231252
2024-01-10 17:00:00.000000 UTC,Inside,102071
2024-01-10 17:00:00.000000 UTC,Outside,281595
2024-01-10 18:00:00.000000 UTC,Inside,74948
2024-01-10 18:00:00.000000 UTC,Outside,202615
2024-01-10 19:00:00.000000 UTC,Inside,42506
2024-01-10 19:00:00.000000 UTC,Outside,118880
2024-01-10 20:00:00.000000 UTC,Inside,28690
2024-01-10 20:00:00.000000 UTC,Outside,85501
2024-01-10 21:00:00.000000 UTC,Inside,25656
2024-01-10 21:00:00.000000 UTC,Outside,67382
2024-01-10 22:00:00.000000 UTC,Inside,18261
2024-01-10 22:00:00.000000 UTC,Outside,50617
2024-01-10 23:00:00.000000 UTC,Inside,10704
2024-01-10 23:00:00.000000 UTC,Outside,29960
2024-01-11 00:00:00.000000 UTC,Inside,5946
2024-01-11 00:00:00.000000 UTC,Outside,14962
2024-01-11 01:00:00.000000 UTC,Inside,1920
2024-01-11 01:00:00.000000 UTC,Outside,5702
2024-01-11 02:00:00.000000 UTC,Inside,1050
2024-01-11 02:00:00.000000 UTC,Outside,4019
2024-01-11 03:00:00.000000 UTC,Inside,736
2024-01-11 03:00:00.000000 UTC,Outside,5409
2024-01-11 04:00:00.000000 UTC,Inside,1294
2024-01-11 04:00:00.000000 UTC,Outside,16393
2024-01-11 05:00:00.000000 UTC,Inside,6137
2024-01-11 05:00:00.000000 UTC,Outside,57990
2024-01-11 06:00:00.000000 UTC,Inside,17884
2024-01-11 06:00:00.000000 UTC,Outside,129383
2024-01-11 07:00:00.000000 UTC,Inside,40159
2024-01-11 07:00:00.000000 UTC,Outside,265253
2024-01-11 08:00:00.000000 UTC,Inside,62724
2024-01-11 08:00:00.000000 UTC,Outside,312845
2024-01-11 09:00:00.000000 UTC,Inside,42323
